original_text	translation_ko
# Action Rounds	# 행동 라운드
## VICTORY POINTS	## 승점
## Victory Points	## 승점
(#10077) - WAITING FOR PLAYER	(#10077) - 플레이어 대기 중
(Click above to view Profile)	(위를 눌러 프로필 보기)
(Click here to adjust Profile)	(여기를 눌러 프로필 조정)
(OPEN)	(열기)
(OPEN) (OPEN) (OPEN) (OPEN) (OPEN) (OPEN)	(열기) (열기) (열기) (열기) (열기) (열기)
+1 Operations value when all points are used in Asia. Pass to opponent after play.	모든 작전치를 아시아에 사용할 때 작전치가 +1 된다. 플레이 후 상대에게 넘긴다.
+1 per Country controlled that is adjacent to enemy superpower	적 초강대국에 인접한 지배 국가마다 +1
- No coup or realignment attemps -	- 쿠데타 또는 재편성 시도 불가 -
- No coup or realignment attempts -	- 쿠데타 또는 재편성 시도 불가 -
1 Op AI Proxy	1 작전치 AI 대리 카드
1 Op Proxy.  For AI Use Only.	1 작전치 대리 카드. AI 전용.
1 VP each for Control of: Burma, Cambodia/Laos, Vietnam, Malaysia, Indonesia, the Philippines.	버마·캄보디아/라오스·베트남·말레이시아·인도네시아·필리핀을 지배할 때마다 1 승점
1 VP each for Control of:<br>Burma, Cambodia/Laos, Vietnam, Malaysia, Indonesia, the Philippines.	버마·캄보디아/라오스·베트남·말레이시아·인도네시아·필리핀을 지배할 때마다 1 승점
1. Determine sides. Bidding for sides is not recommended when using this variant; however, if bidding is being used, bid and assign sides per the bidding rule you are using. If Influence bidding is not being used, determine sides as you normally would.	1. 진영을 결정한다. 이 변형 규칙에서는 진영 입찰을 권장하지 않지만
1. Determine sides. Bidding for sides is not recommended when using this variant; however, if bidding is being used, bid and assign sides per the bidding rule you are using. If Influence bidding is not being used, determine sides as you normally would.<br><br>	1. 진영을 결정한다. 이 변형 규칙에서는 진영 입찰을 권장하지 않지만
10. Cards are now dealt. Any card added from step 10 counts as a dealt card—that is, it counts against the starting hand size as if it had been dealt normally.	10. 이제 카드를 배분한다. 10단계에서 추가된 카드는 실제로 배분된 카드로 간주되며 시작 손패 장수에 포함된다.
10. Cards are now dealt. Any card added from step 10 counts as a dealt card—that is, it counts against the starting hand size as if it had been dealt normally.<br><br>	10. 이제 카드를 배분한다. 10단계에서 추가된 카드는 실제로 배분된 카드로 간주되며 시작 손패 장수에 포함된다.
104 - Optional	104 - 선택 규칙
105 - Optional	105 - 선택 규칙
106 - Optional	106 - 선택 규칙
107 - Optional	107 - 선택 규칙
108 - Optional	108 - 선택 규칙
109 - Optional	109 - 선택 규칙
